Year;Date;Month;Region;Ocurrence
1987;01-01-1987;JUNIO;XIV;0
1987;01-01-1987;JUNIO;X;0
1987;01-01-1987;JUNIO;XI;0
1987;01-01-1987;JUNIO;XII;0
1988;01-01-1988;JULIO;III;0
1988;01-01-1988;JULIO;IV;0
1988;01-01-1988;JULIO;V;0
1988;01-01-1988;JULIO;RM;0
1988;01-01-1988;JULIO;VI;0
1988;01-01-1988;JULIO;VII;0
1988;01-01-1988;JULIO;VIII;0
1988;01-01-1988;JULIO;IX;0
1988;01-01-1988;JULIO;XIV;0
1988;01-01-1988;JULIO;X;0
1988;01-01-1988;JULIO;XI;0
1988;01-01-1988;JULIO;XII;0
1988;01-01-1988;AGOSTO;III;0
1988;01-01-1988;AGOSTO;IV;0
1988;01-01-1988;AGOSTO;V;0
1988;01-01-1988;AGOSTO;RM;0
1988;01-01-1988;AGOSTO;VI;0
1988;01-01-1988;AGOSTO;VII;0
1988;01-01-1988;AGOSTO;VIII;0
1988;01-01-1988;AGOSTO;IX;0
1988;01-01-1988;AGOSTO;XIV;0
1988;01-01-1988;AGOSTO;X;0
1988;01-01-1988;AGOSTO;XI;0
1988;01-01-1988;AGOSTO;XII;0
1988;01-01-1988;SEPTIEMBRE;III;0
1988;01-01-1988;SEPTIEMBRE;IV;0
1988;01-01-1988;SEPTIEMBRE;V;0
1988;01-01-1988;SEPTIEMBRE;RM;0
1988;01-01-1988;SEPTIEMBRE;VI;0
1988;01-01-1988;SEPTIEMBRE;VII;0
1988;01-01-1988;SEPTIEMBRE;VIII;0
1988;01-01-1988;SEPTIEMBRE;IX;0
1988;01-01-1988;SEPTIEMBRE;XIV;0
1988;01-01-1988;SEPTIEMBRE;X;0
1988;01-01-1988;SEPTIEMBRE;XI;0
1988;01-01-1988;SEPTIEMBRE;XII;0
1988;01-01-1988;OCTUBRE;III;1
1988;01-01-1988;OCTUBRE;IV;0
1988;01-01-1988;OCTUBRE;V;0
1988;01-01-1988;OCTUBRE;RM;0
1988;01-01-1988;OCTUBRE;VI;0
1988;01-01-1988;OCTUBRE;VII;2
1988;01-01-1988;OCTUBRE;VIII;0
1988;01-01-1988;OCTUBRE;IX;0
1988;01-01-1988;OCTUBRE;XIV;0
1988;01-01-1988;OCTUBRE;X;0
1988;01-01-1988;OCTUBRE;XI;0
1988;01-01-1988;OCTUBRE;XII;0
1988;01-01-1988;NOVIEMBRE;III;0
1988;01-01-1988;NOVIEMBRE;IV;2
1988;01-01-1988;NOVIEMBRE;V;47
1988;01-01-1988;NOVIEMBRE;RM;36
1988;01-01-1988;NOVIEMBRE;VI;3
1988;01-01-1988;NOVIEMBRE;VII;16
1988;01-01-1988;NOVIEMBRE;VIII;92
1988;01-01-1988;NOVIEMBRE;IX;5
1988;01-01-1988;NOVIEMBRE;XIV;2
1988;01-01-1988;NOVIEMBRE;X;0
1988;01-01-1988;NOVIEMBRE;XI;13
1988;01-01-1988;NOVIEMBRE;XII;2
1988;01-01-1988;DICIEMBRE;III;0
1988;01-01-1988;DICIEMBRE;IV;9
1988;01-01-1988;DICIEMBRE;V;338
1988;01-01-1988;DICIEMBRE;RM;123
1988;01-01-1988;DICIEMBRE;VI;31
1988;01-01-1988;DICIEMBRE;VII;78
1988;01-01-1988;DICIEMBRE;VIII;258
1988;01-01-1988;DICIEMBRE;IX;59
1988;01-01-1988;DICIEMBRE;XIV;7
1988;01-01-1988;DICIEMBRE;X;11
1988;01-01-1988;DICIEMBRE;XI;21
1988;01-01-1988;DICIEMBRE;XII;3
1988;01-01-1988;ENERO;III;1
1988;01-01-1988;ENERO;IV;18
1988;01-01-1988;ENERO;V;348
1988;01-01-1988;ENERO;RM;132
1988;01-01-1988;ENERO;VI;71
1988;01-01-1988;ENERO;VII;105
1988;01-01-1988;ENERO;VIII;373
1988;01-01-1988;ENERO;IX;165
1988;01-01-1988;ENERO;XIV;41
1988;01-01-1988;ENERO;X;45
1988;01-01-1988;ENERO;XI;32
1988;01-01-1988;ENERO;XII;20
1988;01-01-1988;FEBRERO;III;0
1988;01-01-1988;FEBRERO;IV;11
1988;01-01-1988;FEBRERO;V;163
1988;01-01-1988;FEBRERO;RM;101
1988;01-01-1988;FEBRERO;VI;38
1988;01-01-1988;FEBRERO;VII;91
1988;01-01-1988;FEBRERO;VIII;468
1988;01-01-1988;FEBRERO;IX;182
1988;01-01-1988;FEBRERO;XIV;72
1988;01-01-1988;FEBRERO;X;193
1988;01-01-1988;FEBRERO;XI;81
1988;01-01-1988;FEBRERO;XII;30
1988;01-01-1988;MARZO;III;1
1988;01-01-1988;MARZO;IV;7
1988;01-01-1988;MARZO;V;159
1988;01-01-1988;MARZO;RM;55
1988;01-01-1988;MARZO;VI;26
1988;01-01-1988;MARZO;VII;65
1988;01-01-1988;MARZO;VIII;343
1988;01-01-1988;MARZO;IX;76
1988;01-01-1988;MARZO;XIV;14
1988;01-01-1988;MARZO;X;25
1988;01-01-1988;MARZO;XI;23
1988;01-01-1988;MARZO;XII;8
1988;01-01-1988;ABRIL;III;0
1988;01-01-1988;ABRIL;IV;1
1988;01-01-1988;ABRIL;V;114
1988;01-01-1988;ABRIL;RM;30
1988;01-01-1988;ABRIL;VI;33
1988;01-01-1988;ABRIL;VII;43
1988;01-01-1988;ABRIL;VIII;164
1988;01-01-1988;ABRIL;IX;33
1988;01-01-1988;ABRIL;XIV;0
1988;01-01-1988;ABRIL;X;0
1988;01-01-1988;ABRIL;XI;4
1988;01-01-1988;ABRIL;XII;0
1988;01-01-1988;MAYO;III;0
1988;01-01-1988;MAYO;IV;0
1988;01-01-1988;MAYO;V;11
1988;01-01-1988;MAYO;RM;2
1988;01-01-1988;MAYO;VI;0
1988;01-01-1988;MAYO;VII;5
1988;01-01-1988;MAYO;VIII;20
1988;01-01-1988;MAYO;IX;0
1988;01-01-1988;MAYO;XIV;0
1988;01-01-1988;MAYO;X;0
1988;01-01-1988;MAYO;XI;0
1988;01-01-1988;MAYO;XII;0
1988;01-01-1988;JUNIO;III;0
1988;01-01-1988;JUNIO;IV;0
1988;01-01-1988;JUNIO;V;0
1988;01-01-1988;JUNIO;RM;0
1988;01-01-1988;JUNIO;VI;0
1988;01-01-1988;JUNIO;VII;0
1988;01-01-1988;JUNIO;VIII;0
1988;01-01-1988;JUNIO;IX;0
1988;01-01-1988;JUNIO;XIV;0
1988;01-01-1988;JUNIO;X;0
1988;01-01-1988;JUNIO;XI;0
1988;01-01-1988;JUNIO;XII;0
1989;01-01-1989;JULIO;III;0
1989;01-01-1989;JULIO;IV;0
1989;01-01-1989;JULIO;V;0
1989;01-01-1989;JULIO;RM;0
1989;01-01-1989;JULIO;VI;0
1989;01-01-1989;JULIO;VII;0
1989;01-01-1989;JULIO;VIII;0
1989;01-01-1989;JULIO;IX;0
1989;01-01-1989;JULIO;XIV;0
1989;01-01-1989;JULIO;X;0
1989;01-01-1989;JULIO;XI;0
1989;01-01-1989;JULIO;XII;0
1989;01-01-1989;AGOSTO;III;0
1989;01-01-1989;AGOSTO;IV;0
1989;01-01-1989;AGOSTO;V;0
1989;01-01-1989;AGOSTO;RM;0
1989;01-01-1989;AGOSTO;VI;0
1989;01-01-1989;AGOSTO;VII;0
1989;01-01-1989;AGOSTO;VIII;0
1989;01-01-1989;AGOSTO;IX;0
1989;01-01-1989;AGOSTO;XIV;0
1989;01-01-1989;AGOSTO;X;0
1989;01-01-1989;AGOSTO;XI;0
1989;01-01-1989;AGOSTO;XII;0
1989;01-01-1989;SEPTIEMBRE;III;0
1989;01-01-1989;SEPTIEMBRE;IV;0
1989;01-01-1989;SEPTIEMBRE;V;0
1989;01-01-1989;SEPTIEMBRE;RM;0
1989;01-01-1989;SEPTIEMBRE;VI;0
1989;01-01-1989;SEPTIEMBRE;VII;0
1989;01-01-1989;SEPTIEMBRE;VIII;0
1989;01-01-1989;SEPTIEMBRE;IX;0
1989;01-01-1989;SEPTIEMBRE;XIV;0
1989;01-01-1989;SEPTIEMBRE;X;0
1989;01-01-1989;SEPTIEMBRE;XI;0
1989;01-01-1989;SEPTIEMBRE;XII;0
1989;01-01-1989;OCTUBRE;III;2
1989;01-01-1989;OCTUBRE;IV;0
1989;01-01-1989;OCTUBRE;V;0
1989;01-01-1989;OCTUBRE;RM;6
1989;01-01-1989;OCTUBRE;VI;25
1989;01-01-1989;OCTUBRE;VII;16
1989;01-01-1989;OCTUBRE;VIII;44
1989;01-01-1989;OCTUBRE;IX;4
1989;01-01-1989;OCTUBRE;XIV;3
1989;01-01-1989;OCTUBRE;X;1
1989;01-01-1989;OCTUBRE;XI;4
1989;01-01-1989;OCTUBRE;XII;1
1989;01-01-1989;NOVIEMBRE;III;0
1989;01-01-1989;NOVIEMBRE;IV;7
1989;01-01-1989;NOVIEMBRE;V;120
1989;01-01-1989;NOVIEMBRE;RM;51
1989;01-01-1989;NOVIEMBRE;VI;16
1989;01-01-1989;NOVIEMBRE;VII;54
1989;01-01-1989;NOVIEMBRE;VIII;112
